Year,Group,Sample,SampID,GSample,Drain,Zone,Type,Type2,DepthType,Easting,Northing,Longitude,Latitude,Depth_upper_cm,Depth_lower_cm,DepthMid,pH,EC,EC_units,Al,As,Ba,Ca,Ce,Co,Cr,Cu,Fe,Gd,K,La,Li,Mg,Mn,Mo,Na,Nd,Ni,P,Pb,S,Sr,Th,V,Y,Zn,REE
2019,2,2a,2019_2_2a,2_2a,Kitchener,KMD,Drain_Sed,Drain_Sed,Surface,399969,6468080,115.941929,-31.91876649,0,15,5,3.53,1.341,NA,2568,NA,4.6,492,2.2,2.7,2.8,NA,2749,NA,59,1.2,1,176,6,0.25,158,0.8,NA,96,3.3,1500,5,0.7,4.7,0.4,224,4.2
2019,2,2b,2019_2_2b,2_2b,Kitchener,KMD,Drain_Sed,Drain_Sed,Core,399969,6468080,115.941929,-31.91876649,15,30,20,4.62,2.013,NA,4854,1.1,11.4,1190,5.2,5.5,5.6,NA,4370,NA,132,2.9,2.1,331,16,0.2,654,2,NA,272,6.4,1544,10,1.3,7.1,0.9,459,10.1
2019,2,3,2019_2_3,2_3,Kitchener,KMD,Drain_Sed,Drain_Sed,Surface,399960,6468093,115.9418352,-31.91864843,0,15,5,4.74,2.923,NA,14152,7.38,68.6,8995,19,33,16.2,201.2,28231,1.89,396,12.2,5,1076,75,0.96,1324,7.7,10,2034,28.3,13978,51,2,27.2,4,2789.3,40.79
2019,2,4,2019_2_4,2_4,Kitchener,KMD,Drain_Sed,Drain_Sed,Surface,399939,6468110,115.9416148,-31.91849323,0,15,5,4.22,1.575,NA,3732,1.28,11,1391,6.1,4.3,3.8,NA,3518,NA,161,2.8,1.6,271,11,0.21,352,2,NA,244,6.2,1577,12,0.5,5.3,1,502.9,10.9
2019,2,5,2019_2_5,2_5,Kitchener,KMD,Drain_Sed,Drain_Sed,Surface,399934,6468116,115.9415626,-31.91843867,0,15,5,4.93,1.046,NA,2675,0.99,7.1,1094,3.7,4.5,3,8.8,2851,NA,83,2.3,1,183,9,0.14,212,1.6,NA,170,6.8,1111,6,0.4,4.5,0.8,380.7,7.6
2019,2,6,2019_2_6,2_6,Kitchener,KMD,Drain_Sed,Drain_Sed,Surface,399927,6468136,115.9414906,-31.91825765,0,15,5,5.58,0.738,NA,4499,2.79,15.1,2170,6.8,25.1,4.7,7.7,7538,0.77,166,3.9,1.7,392,78,0.31,368,2.5,NA,420,9.2,3163,14,2.6,10.1,1.6,981.6,13.97
2019,2,7,2019_2_7,2_7,Kitchener,KMD,Drain_Sed,Drain_Sed,Surface,399913,6468165,115.9413455,-31.91799482,0,15,5,5.62,0.739,NA,5870,2.13,23.3,2007,8.3,29.9,7.1,NA,11144,0.68,160,3.9,1.6,353,139,0.24,305,2.9,NA,521,10.7,1676,14,2.2,12.8,1.5,700.6,15.78
2019,2,8,2019_2_8,2_8,Kitchener,KMD,Drain_Sed,Drain_Sed,Surface,399993,6468025,115.9421771,-31.91926472,0,15,5,5.25,15.15,NA,14663,7.57,25.5,6640,19.5,40.7,19.9,44.3,32962,1.98,1600,13.2,11.7,6872,152,6.66,33719,8.3,15.7,1075,40,40943,98,2.9,33.6,4.9,5210.4,42.98
2019,2,9,2019_2_9,2_9,Kitchener,KMD,Drain_Sed,Drain_Sed,Surface,400006,6467977,115.9423097,-31.91969885,0,15,5,6.47,6.06,NA,35638,1.04,37.3,2230,73.5,15.1,54.6,27.1,54763,5.93,2170,42.5,52.3,3533,199,2.38,8222,29.1,18.8,379,24.3,1726,43,15.1,83,20.9,113.6,151.03
2019,2,10,2019_2_10,2_1,Kitchener,KMD,Drain_Sed,Drain_Sed,Surface,399973,6468065,115.9419698,-31.91890215,0,15,5,3.49,10.45,NA,8215,4.7,23.3,1842,11.2,10.4,11.9,19.2,11441,1.16,486,6.9,4.6,1691,27,1.71,8905,4.6,5.6,623,24.9,6688,23,1.2,16.9,2.4,1120,23.86
2019,3,1,2019_3_1,3_1,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400068,6467981,115.9429658,-31.91966822,NA,NA,NA,7.54,2.656,NA,23332,6.84,32.8,3311,51.9,12,36.4,78.6,32906,3.9,1382,27.1,26.9,3184,103,2.44,7618,20.7,14.8,320,39.2,14970,45,12.6,54.9,14.1,232.6,103.6
2019,3,2,2019_3_2,3_2,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400086,6467997,115.9431578,-31.91952548,NA,NA,NA,7.68,1.382,NA,25080,5.26,28.2,1967,51,7.9,34.3,25.7,24378,3.7,1265,26.4,31.1,2412,67,1.57,3925,19.9,12.3,170,23.3,5785,29,11.3,43.7,13.3,59,101
2019,3,3,2019_3_3,3_3,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400090,6468004,115.9432008,-31.91946269,NA,NA,NA,8.08,1.7,NA,20600,8.54,25.9,2624,48.9,16.7,30.6,70.3,47878,4.07,1230,26.5,23.4,2631,115,1.71,4205,19.3,17.3,340,49.9,16082,39,8.1,48.7,13.2,189.3,98.77
2019,3,4,2019_3_4,3_4,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400101,6468013,115.9433181,-31.91938247,NA,NA,NA,8.27,1.014,NA,25170,11.52,29.4,2301,55.3,18.5,36.4,217.1,45712,4.57,1390,28.7,31.4,2809,73,3.65,5161,21.8,17.8,492,72.4,10020,36,10.1,54.9,14.8,403.4,110.37
2019,3,5,2019_3_5,3_5,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400112,6468026,115.9434358,-31.91926617,NA,NA,NA,7.46,2.81,NA,28997,4.31,35.7,3682,79.5,25.5,49.8,58.1,41723,5.6,2056,41,31.7,3875,123,2.32,8707,31.1,23.5,452,48,14246,53,12.5,68.4,20.7,314.8,157.2
2019,3,6,2019_3_6,3_6,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400123,6468034,115.9435529,-31.91919498,NA,NA,NA,7.34,2.62,NA,34925,7.39,29.6,1857,65.1,18,51.5,48.5,78239,6.51,1831,28.1,44,2932,102,11.76,5253,28.8,22.6,472,33.8,3405,31,14.9,89.3,17.2,164.3,128.51
2019,3,7,2019_3_7,3_7,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400133,6468045,115.9436598,-31.91909663,NA,NA,NA,7.17,4.25,NA,31952,5.61,27.4,1967,86.9,12.6,47.7,36.5,53069,6.28,1572,43.6,42.9,2717,77,11.49,4171,32.3,18.7,400,30,3921,34,12.9,77.5,25.4,136.4,169.08
2019,4,1,2019_4_1,4_1,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400375,6468287,115.9462441,-31.91693495,0,12.5,5,6.9,0.2158,NA,11530,2.84,45.1,798,14.9,1.8,22.2,93.7,32507,1.9,1554,9,7.1,810,50,2.93,354,6.8,5,114,70.9,2276,9,9.1,31.7,1.6,30.1,32.6
2019,4,2,2019_4_2,4_2,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400365,6468278,115.9461374,-31.91701526,0,12.5,5,6.8,1.01,NA,20311,15.86,31.1,1780,23.1,10.9,45.2,172.6,60516,2.79,1431,12.6,14.3,2343,52,4.57,1436,10.9,12.5,449,70.8,12418,22,14.2,90.9,4.6,514.7,49.39
2019,4,3,2019_4_3,4_3,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400342,6468255,115.9458918,-31.91722071,0,12.5,5,5.43,0.5434,NA,11397,13.9,16.3,861,24.1,13.6,20.4,206.9,35730,2.37,697,11.5,9,1249,36,3.3,1911,10.4,9.7,233,67.9,9509,12,6.6,26.1,5.1,419.6,48.37
2019,4,4,2019_4_4,4_4,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400326,6468241,115.9457212,-31.91734559,0,12.5,5,6.6,0.47,NA,15019,2.75,66.9,709,26,4.1,23,26.3,18919,1.98,971,12.1,13.3,1203,36,3.5,1274,11,5.5,139,25.8,1495,18,9.4,32.9,4.2,57,51.08
2019,4,5,2019_4_5,4_5,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400303,6468218,115.9454756,-31.91755104,0,12.5,5,7,1.385,NA,23689,3.26,77.8,952,26.4,4.6,51.4,24.2,37176,2.7,1814,13.5,22.4,2356,50,6.55,2793,11.7,9,92,11.4,1356,26,19.8,80,4.5,39.7,54.3
2019,4,6,2019_4_6,4_6,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400271,6468185,115.9451337,-31.91784591,0,12.5,5,6.64,0.902,NA,30298,2.44,45,1501,88.7,8.6,50.4,36.2,38361,6.34,2377,41.2,28.3,2425,90,2.87,3453,34.4,17.4,288,28,5956,24,14.6,63.2,20.8,102.9,170.64
2019,4,7,2019_4_7,4_7,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400220,6468133,115.944589,-31.91831049,0,12.5,5,6,1.86,NA,26873,26.16,55.4,2809,43.8,21.6,43.1,522.6,70016,4.47,1431,21.5,24.1,3169,86,4.8,6490,19.5,21.9,1265,207.4,13010,41,10.9,62,11.5,1134.6,89.27
2019,4,8,2019_4_8,4_8,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400188,6468103,115.9442475,-31.91857829,0,12.5,5,6.18,2.268,NA,18427,4.23,45,1370,24.3,6.1,34.5,183.6,25410,2.01,1244,12.9,18.8,2041,51,3.02,3988,9.9,11,513,61.5,5310,27,12,44.1,4.7,249.7,49.11
2019,6,1,2019_6_1,6_1,Chapman,NE,Lake_Sed,Lake_Sed,Surface,400328,6468226,115.9457408,-31.91748107,0,10,5,6.19,3.44,NA,37034,13.84,157.6,3257,203.9,10.9,56,417.7,48343,12.47,3009,94.4,43.7,4908,74,3.16,16320,70.3,25.1,1872,472.8,5184,239,10.8,65.2,46.2,257.3,381.07
2019,6,2,2019_6_2,6_2,Chapman,NE,Lake_Sed,Lake_Sed,Surface,400336,6468228,115.9458256,-31.91746374,0,10,5,6.15,3.008,NA,36701,4.37,78.1,1584,126.3,9,66.6,127.4,36526,7.79,2797,59.8,29.7,4555,65,0.9,12143,45.9,24.3,478,90.8,1719,48,19.9,69.3,26.6,138.7,239.79
2019,6,3,2019_6_3,6_3,Chapman,NE,Lake_Sed,Lake_Sed,Surface,400341,6468228,115.9458785,-31.91746417,0,10,5,6.26,3.25,NA,32241,19.2,121.5,3766,143.3,9.1,58.4,386.5,50725,8.46,2490,77.8,27.5,4898,64,3.42,18093,47.8,21.8,2392,831.1,4000,204,11.4,70.2,35.1,191.6,277.36
2019,6,4,2019_6_4,6_4,Chapman,NE,Lake_Sed,Lake_Sed,Surface,400349,6468226,115.9459629,-31.91748292,0,10,5,6.52,8.79,NA,36723,5.39,81.3,1891,136.3,9.5,61.8,116.1,38565,8.51,2798,61.3,33.8,4867,75,1.15,14006,48.9,21.1,705,84.5,2075,72,19.6,68,29,156.2,255.01
2019,6,5,2019_6_5,6_5,Chapman,NE,Lake_Sed,Lake_Sed,Surface,400356,6468229,115.9460372,-31.91745647,0,10,5,6.59,7.39,NA,34334,NA,82.4,1872,161.4,10.2,58.2,99.5,41691,9.56,2720,79.9,35.3,4576,94,1.45,11670,54.9,22.4,610,71.2,2072,68,17.6,71.7,38.2,214.5,305.76
2019,6,6,2019_6_6,6_6,Chapman,NE,Lake_Sed,Lake_Sed,Surface,400364,6468230,115.9461219,-31.91744815,0,10,5,6.37,10.52,NA,35412,6.56,74.3,2980,106.3,19.2,59.6,260.6,72096,7.79,2924,55.1,34,5866,195,2.22,19469,40.3,38.8,1100,123.6,3404,77,16.9,69.2,25.1,344.1,209.49
2019,6,7,2019_6_7,6_7,Chapman,NE,Lake_Sed,Lake_Sed,Surface,400370,6468229,115.9461853,-31.9174577,0,10,5,6.57,5,NA,35372,4.75,82.9,2051,150.3,11.4,62.5,110.3,39637,8.98,2861,76.8,36.2,5232,107,1.2,13792,52,24.6,520,59,2190,63,19.8,73.1,34.5,195.2,288.08
2019,6,8,2019_6_8,6_8,Chapman,NE,Lake_Sed,Lake_Sed,Surface,400378,6468229,115.9462699,-31.9174584,0,10,5,6.61,4.52,NA,36609,4.43,79.1,2167,183.7,8.8,58.9,89.6,29020,10.84,2721,86.1,41,4435,97,1.08,12034,63.2,21.7,357,45.8,2023,62,18.7,66.5,41.9,126.9,343.84
2019,6,9,2019_6_9,6_9,Chapman,NE,Lake_Sed,Lake_Sed,Surface,400387,6468228,115.946365,-31.91746821,0,10,5,6.63,8.85,NA,33066,2.76,82,2006,133.2,12.8,60.1,101.9,40911,8.08,2896,67.1,33.1,4880,104,1.19,13685,47.5,25.4,501,50.4,2150,59,20,71.6,30.4,205.5,255.88
2019,6,10,2019_6_10,6_1,Chapman,NE,Lake_Sed,Lake_Sed,Surface,400396,6468227,115.94646,-31.91747802,0,10,5,6.63,8.14,NA,34278,6.88,81,2172,173.2,16.1,60.7,155,47101,10.14,3097,90.9,39.3,5215,105,1.36,13498,58.6,32.3,736,71.8,2508,74,18.2,71.8,42.4,405.4,332.84
2019,5,1,2019_5_1,5_1,Chapman,N,Lake_Sed,Lake_Sed,Surface,400315,6468224,115.9456031,-31.91749797,0,10,5,6.04,3.66,NA,27240,26.72,58.3,3681,49.2,26.9,41.6,1007.8,55535,4.32,1721,23.6,19.4,3492,1399,3.52,10260,20.3,19.4,1453,241.4,2179,54,8.6,53.5,11.5,724.8,97.42
2019,5,2,2019_5_2,5_2,Chapman,N,Lake_Sed,Lake_Sed,Surface,400303,6468233,115.9454771,-31.91741574,0,10,5,6.21,2.312,NA,44379,4.94,76.8,2811,168.1,9.5,66.1,97.7,32988,9.93,2918,75.6,39.1,3913,65,1.04,7626,58.9,25,374,44.3,1624,55,18.4,70.6,38,203.1,312.53
2019,5,3,2019_5_3,5_3,Chapman,N,Lake_Sed,Lake_Sed,Surface,400291,6468238,115.9453507,-31.91736958,0,10,5,5.82,2.379,NA,44313,3.82,72,4825,189.6,14.2,65.6,225.4,46019,12.04,2868,88.7,43.7,4598,95,1.29,10098,69.1,30.6,804,63.6,3212,75,16.5,78.6,47.9,320.3,359.44
2019,5,4,2019_5_4,5_4,Chapman,N,Lake_Sed,Lake_Sed,Surface,400286,6468239,115.9452979,-31.91736012,0,10,5,5.93,3.14,NA,48376,5.17,59,4150,145.9,13.3,66.5,192.8,34992,9.19,3118,69.1,41.3,4835,84,1.64,13074,53.9,34.7,580,53.3,3110,63,17.4,67.6,33.7,333,278.09
2019,5,5,2019_5_5,5_5,Chapman,N,Lake_Sed,Lake_Sed,Surface,400279,6468245,115.9452245,-31.91730538,0,10,5,5.76,1.805,NA,44878,6.77,60,3940,187.8,14.1,64.9,213,37555,11.43,3060,90.6,45.9,5223,88,1.41,14117,67.2,33.3,525,47.7,3107,69,16.6,70.9,47,286.1,357.03
2019,5,6,2019_5_6,5_6,Chapman,N,Lake_Sed,Lake_Sed,Surface,400268,6468252,115.9451089,-31.91724128,0,10,5,5.76,3.21,NA,44975,3.09,57.9,4490,221.1,15.2,62.8,179.7,43310,13.64,2995,104.3,51.6,5386,97,1.64,14573,80.3,32.6,462,44.6,3487,75,14.4,73.1,56.9,340.5,419.34
2019,5,7,2019_5_7,5_7,Chapman,N,Lake_Sed,Lake_Sed,Surface,400259,6468257,115.9450142,-31.91719538,0,10,5,5.89,2.297,NA,50293,4.82,58.9,2434,186.7,12.5,70,92.5,46872,11.72,2902,93.1,54.7,4573,84,3.52,10559,67.8,31.1,419,29.4,1714,57,17.4,81.8,48.8,206.6,359.32
2019,5,8,2019_5_8,5_8,Chapman,N,Lake_Sed,Lake_Sed,Surface,400253,6468262,115.9449513,-31.91714975,0,10,5,5.71,2.005,NA,42915,3.48,53.2,3852,179.2,12.6,61.4,92.7,48186,11.98,2882,86.1,44.6,4834,89,4.52,12571,67.6,29.9,427,30.7,3240,68,15.2,78.3,47.6,197.7,344.88
2019,5,9,2019_5_9,5_9,Chapman,N,Lake_Sed,Lake_Sed,Surface,400242,6468273,115.9448361,-31.91704956,0,10,5,5.92,6.34,NA,38688,6.98,64.3,8266,111.9,18.7,50.1,82.3,92816,9.6,2560,52,36.8,6034,167,6.9,15902,46.3,25.4,365,24.8,6998,115,11.9,67.9,31.8,322.7,219.8
2019,7,1,2019_7_1,7_1,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400510,6468319,115.9476751,-31.91665813,0,29,5,6.8,0.1277,NA,19528,4.52,31.9,2938,50.1,7.4,38.8,17.8,25319,3.7,531,23.9,6.8,750,60,0.53,221,20.8,12.8,142,19.6,583,13,10.2,50.7,10.6,37.4,98.5
2019,7,2,2019_7_2,7_2,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400504,6468308,115.9476105,-31.91675683,0,36,5,7.14,0.1509,NA,10855,17.23,35.8,2293,21.5,10.8,39.3,215.2,27093,2.03,313,10.8,6.5,765,60,1.22,362,9.2,16.8,773,121.1,2386,17,4,28.3,4.9,534.9,43.53
2019,7,3,2019_7_3,7_3,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400492,6468314,115.9474842,-31.91670166,0,38,5,7.5,0.2464,NA,26290,10.12,48.1,1938,49,11.7,30.3,40.5,53547,5.07,1369,19,28.4,1382,73,3.13,602,25,20.2,182,24.2,1529,26,8.8,42.8,9.1,70.3,98.07
2019,7,4,2019_7_4,7_4,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400488,6468317,115.9474422,-31.91667425,0,30,5,7.62,0.014,NA,34671,11.82,49.3,2812,116,11.4,38.6,59.9,40807,9.98,1569,40.5,40.8,1583,57,3.69,633,54.1,22.7,376,42.5,3408,40,9.1,47.5,23.6,152.2,220.58
2019,7,5,2019_7_5,7_5,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400483,6468321,115.9473898,-31.91663773,0,40,5,7.07,0.2504,NA,11625,27.67,33.1,1722,29.8,17.6,19.6,171,67192,3.51,510,15.6,8.5,864,67,1.4,347,12.9,16.2,279,85,9523,16,5.4,31.2,7.7,432.6,61.81
2019,7,6,2019_7_6,7_6,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400473,6468324,115.9472843,-31.91660979,0,17,5,6.65,0.122,NA,8844,20.16,19,1044,9.8,10.1,14.5,148,39469,1.72,225,5.2,4,339,40,0.94,161,4.7,14.6,226,47.6,3906,9,3.8,27.5,2.3,247.8,21.42
2019,7,7,2019_7_7,7_7,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400453,6468339,115.9470744,-31.91647273,0,18,5,6.91,0.1647,NA,7857,7.99,15,1793,15,4.1,13.6,28.3,20529,1.53,221,7.1,3.8,325,37,0.74,193,6.6,5.2,170,18.2,1858,11,4.4,22.4,2.8,45.8,30.23
2019,7,8,2019_7_8,7_8,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400439,6468346,115.946927,-31.91640836,0,14,5,6.73,0.1687,NA,10996,14.53,33.1,1489,21.1,10.9,28.5,65.7,45327,2.37,363,10.1,7,679,63,3.99,361,10.2,13.4,448,39.1,5399,16,5.6,38.6,4.1,318.5,43.77
2019,7,9,2019_7_9,7_9,Chapman,CMD,Drain_Sed,Drain_Sed,Surface,400422,6468331,115.9467457,-31.91654218,0,31,5,6.78,0.1548,NA,8548,9.3,38.1,1344,19.1,5.9,23.1,44.4,38217,2.08,375,10.2,5.4,638,40,3.72,308,8.8,6.9,399,32.1,4803,13,8.4,37.6,2.8,168.9,40.18
2019,8,1,2019_8_1,8_1,NA,SM,Saltmarsh,Saltmarsh W,Surface,400167,6467930,115.9440076,-31.92013697,0,10,5,5.89,1.346,NA,22508,2.07,61.7,4757,61.6,13.6,50.3,44.1,29662,4.19,1761,30.7,11.7,3855,583,1.02,5185,24.1,21.8,748,42.4,1506,49,10.5,56.3,12.2,157.7,120.59
2019,8,2,2019_8_2,8_2,NA,SM,Saltmarsh,Saltmarsh W,Core,400167,6467930,115.9440076,-31.92013697,10,20,15,5.17,1.78,NA,33273,3.4,71.6,1749,92.7,16.2,66,47,43395,6.27,2002,48.6,17.3,3163,458,1.25,4581,37.1,25.7,430,59.1,910,28,16.3,79.4,19.6,170,184.67
2019,8,3,2019_8_3,8_3,NA,SM,Saltmarsh,Saltmarsh W,Core,400167,6467930,115.9440076,-31.92013697,20,30,25,4.74,2.41,NA,31472,4.78,107.7,1080,84,11,65.1,36.4,45248,6.29,1816,43.7,17.5,2755,239,1.33,4892,35,23.8,296,34.3,1172,22,14.7,79.9,19.1,62,168.99
2019,8,4,2019_8_4,8_4,NA,SM,Saltmarsh,Saltmarsh W,Core,400167,6467930,115.9440076,-31.92013697,30,40,35,4.61,1.985,NA,29235,2.7,103.1,870,62.9,6.6,55.5,28.2,46170,5.08,1812,30.8,17.6,2463,75,1.8,5833,27.3,18.8,272,33.3,2442,29,12.5,78,13.8,41.6,126.08
2019,8,5,2019_8_5,8_5,NA,SM,Saltmarsh,Saltmarsh W,Core,400167,6467930,115.9440076,-31.92013697,40,50,45,4.51,2.5,NA,24996,2.11,83.2,904,52.1,5.8,49.4,24.1,47022,4.59,1602,25.4,14.4,2174,81,2.09,6388,23.2,18.1,328,23.2,2020,35,10.8,69.5,11.5,16.8,105.29
2019,8,6,2019_8_6,8_6,NA,SM,Saltmarsh,Saltmarsh W,Core,400167,6467930,115.9440076,-31.92013697,50,60,55,5.21,2.266,NA,26785,0.97,78.9,997,47,5.8,49.4,22.4,46339,4.46,1610,21.9,18,2366,76,2.08,6674,21.8,15.2,337,22.6,1657,36,11,74.6,10.4,43.2,95.16
2019,8,7,2019_8_7,8_7,NA,SM,Saltmarsh,Saltmarsh W,Core,400167,6467930,115.9440076,-31.92013697,60,70,65,5.52,2.063,NA,28408,3.74,69,1250,46.9,6.4,56.1,20.3,47052,4.3,1636,22.2,23.9,2527,102,2.67,7070,21.3,19.3,354,22.3,1357,38,11.3,75.9,10.2,18.2,94.7
2019,8,8,2019_8_8,8_8,NA,SM,Saltmarsh,Saltmarsh W,Core,400167,6467930,115.9440076,-31.92013697,70,80,75,5.77,1.922,NA,30644,3.29,63.1,1484,53.4,6.8,54.4,21.9,46743,4.71,1691,25.7,27.8,2714,86,2.76,6761,23.7,19.4,324,23.3,1095,43,12.8,78.6,12.3,21.6,107.51
2019,8,9,2019_8_9,8_9,NA,SM,Saltmarsh,Saltmarsh W,Core,400167,6467930,115.9440076,-31.92013697,80,90,85,5.56,1.763,NA,35639,1.33,53,1424,65.5,9,59.2,23.7,51449,5.45,1802,29.8,37.7,2752,153,3.83,6828,28.8,18.9,346,25.2,1006,46,14,83,15.3,18.6,129.55
2019,8,10,2019_8_10,8_1,NA,SM,Saltmarsh,Saltmarsh W,Core,400167,6467930,115.9440076,-31.92013697,90,100,95,6.33,1.646,NA,37613,1.45,38,1428,68.2,6.6,60.1,23,47747,5.63,2059,30.9,41.9,2946,74,4.19,6557,29.4,18.9,241,20.7,822,41,16.4,84,16.8,14.4,134.13
2019,8,11,2019_8_11,8_11,NA,SM,Saltmarsh,Saltmarsh W,Core,400167,6467930,115.9440076,-31.92013697,100,110,105,6.29,1.583,NA,40709,1.11,31.1,1418,78.8,7.4,62,25.7,53358,6.51,2279,34.2,47.1,3147,73,7,7054,33,20.8,256,23.8,974,33,17.4,97.9,20.3,35.7,152.51
2019,9,1,2019_9_1,9_1,NA,SM,Saltmarsh,Saltmarsh W,Surface,400178,6467970,115.944128,-31.91977712,0,10,5,5.75,0.46,NA,38772,4.26,79,1850,112.3,17.4,77.2,44.1,44104,7.71,2197,57.2,19.3,3599,600,1.33,2050,45.4,31.6,479,42.6,601,39,17.4,90.3,23.3,62.6,222.61
2019,9,2,2019_9_2,9_2,NA,SM,Saltmarsh,Saltmarsh W,Core,400178,6467970,115.944128,-31.91977712,10,20,15,5.65,0.947,NA,36237,2.26,73.1,1348,91.7,14.1,69.8,33.9,44124,6.52,1908,46.9,21,2709,442,2.04,1957,36.9,27,404,35.9,461,31,15.2,87.9,20,36.9,182.02
