Year,Sample_Code,Group,Sample,Easting,Northing,Longitude,Latitude,Drain,Zone,salinity,Sal_zone,pH,EC,Cl,NOx_N,PO4_P,SO4_S,Al,As,B,Ba,Ca,Co,Cr,Cu,Fe,K,Li,Mg,Mn,Mo,Na,Ni,P,Rb,S,Si,Sr,V,Zn,La,Nd,Gd
2019,2019_01_1,1,1,399983,6468047,115.9420737,-31.91906539,Kitchener,Kitchener_S,Marine,KD_saline,7,34.4,NA,NA,NA,NA,0.074790737,NA,2.569559879,0.13613789,317.810973,NA,0.008204825,NA,0.463486544,283.0314269,0.072541515,931.980172,0.260374233,NA,7006.379058,NA,1.832145,0.307827924,284.4599247,3.919235943,4.894181076,0.033249395,0.005774947,NA,NA,NA
2019,2019_01_2,1,2,399989,6468037,115.9421361,-31.91915613,Kitchener,Kitchener_S,Marine,KD_saline,7.24,35.3,NA,NA,NA,NA,NA,0.00275252,2.563446527,0.115018016,331.613363,NA,0.006532687,NA,0.669688573,292.4617279,0.074320592,978.1211148,0.165423893,0.001906221,7311.891444,NA,0.327004724,0.284270307,312.7646018,2.099257624,4.751013656,0.031570763,NA,NA,NA,NA
2019,2019_01_3,1,3,399991,6468028,115.9421563,-31.91923748,Kitchener,Kitchener_S,Marine,KD_saline,7.34,34.9,NA,NA,NA,NA,NA,NA,2.495464566,0.103503296,331.6035128,NA,0.008050106,NA,0.207726834,284.097946,0.070880486,988.9341611,0.142867815,0.001886773,7228.457969,NA,0.134104008,0.273866271,317.3809569,2.341739407,4.724344264,0.028905169,NA,NA,NA,NA
2019,2019_01_4,1,4,399994,6468017,115.9421869,-31.91933697,Kitchener,Kitchener_S,Marine,KD_saline,7.1,34.1,NA,NA,NA,NA,NA,0.002362304,2.393974012,0.102896994,315.0980016,NA,0.007753616,NA,2.977266349,274.0257485,0.064331588,939.6704629,0.173220024,0.001425327,7119.226601,NA,0.580259256,0.259773572,308.1877386,2.854778614,4.578114985,0.030386325,NA,NA,NA,NA
2019,2019_01_5,1,5,400001,6467989,115.942258,-31.91959016,Kitchener,Kitchener_S,Marine,KD_saline,7.66,33.1,NA,NA,NA,NA,NA,0.00291805,2.428322106,0.082630095,298.6255951,NA,0.006489236,NA,0.058222029,258.8094138,0.073028288,887.0462207,0.081107401,0.004351068,6717.596217,NA,0.099321817,0.234975796,304.0675173,1.957414287,4.41649036,0.030450144,NA,NA,NA,NA
2019,2019_01_6,1,6,400005,6467974,115.9422988,-31.91972582,Kitchener,Kitchener_S,Marine,KD_saline,7.94,35.7,NA,NA,NA,NA,NA,0.005155652,2.426048645,0.078352322,297.8140519,NA,0.007722377,NA,NA,255.4300532,0.068649678,892.0051265,0.078749514,0.004920676,6632.010051,NA,0.057585056,0.227346027,306.485007,1.968675436,4.287152362,0.029102228,NA,NA,NA,NA
2019,2019_01_7,1,7,399968,6468025,115.9419127,-31.91926252,Kitchener,Kitchener_S,Marine,KD_saline,NA,NA,NA,NA,NA,NA,0.616271182,0.021519459,3.342999996,0.171941055,569.4891521,NA,0.008041574,NA,97.92002014,363.3796389,0.132292583,1496.598965,0.646647065,NA,10653.33244,NA,0.040509236,0.366196647,754.5219042,13.68873931,7.438012199,0.041042326,0.150505069,NA,NA,NA
2019,2019_02_1,2,1,399980,6468057,115.942043,-31.91897492,Kitchener,Kitchener_S,Marine,KD_saline,6.82,3830,NA,NA,NA,NA,0.013275471,0.004516021,2.672497122,0.144135116,335.6941401,NA,0.007495111,NA,2.847676214,289.4701932,0.05996658,964.3074453,0.355423121,0.002539516,7586.595055,NA,0.60646893,0.28902346,336.2133506,2.623040542,4.814154955,0.028483179,NA,NA,NA,NA
2019,2019_02_2,2,2,399938,6468118,115.9416051,-31.91842098,Kitchener,Kitchener_N,Marine,KD_saline,6.92,1025,NA,NA,NA,NA,NA,0.002838938,2.711048076,0.142334471,338.7274081,NA,0.007244546,NA,0.698294823,289.8949281,0.063376065,970.7189442,0.360419321,0.002364713,7611.455235,NA,0.130808369,0.291182439,346.4366949,2.647725579,4.872303927,0.031847834,NA,NA,NA,NA
2019,2019_02_3,2,3,399932,6468139,115.9415438,-31.91823102,Kitchener,Kitchener_N,Fresh,KD_fresh,6.85,995,NA,NA,NA,NA,0.12811053,NA,0.272681519,0.014829872,28.0977103,NA,NA,NA,0.345928791,8.589656156,0.018969452,6.364881367,0.083487311,0.002487615,164.5786503,NA,0.079210661,0.015753285,15.10714878,3.354434344,0.134638719,0.003720814,0.034352309,NA,NA,NA
